name,industry,category,price,user_rating,user_reviews,price_band,rating_tier
Tazo® Tea Drinks,Coffee,Soymilk,220.0,95.0,37,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Soymilk,160.0,70.0,28,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Soymilk,230.0,55.0,33,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Soymilk,110.0,50.0,18,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Soymilk,140.0,25.0,20,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Soymilk,210.0,0.0,32,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,Soymilk,170.0,0.0,25,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,Soymilk,130.0,0.0,19,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,Soymilk,280.0,120.0,46,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Soymilk,390.0,110.0,58,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Soymilk,310.0,80.0,46,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Tall Nonfat Milk,160.0,70.0,32,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Tall Nonfat Milk,210.0,55.0,41,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Tall Nonfat Milk,120.0,0.0,23,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,Venti Nonfat Milk,190.0,0.0,39,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,Venti Nonfat Milk,260.0,120.0,54,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Venti Nonfat Milk,370.0,110.0,71,Ultra ($250+),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,18.2325,64.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,14.96,33.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,5.59,23.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,24.582,23.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,19.8475,22.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,8.316,17.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,9.036,16.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,18.414,16.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,11.358,13.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,12.672,9.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,10.044,8.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,38.8875,31.0,0,Mid ($26-50),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,32.674,21.0,0,Mid ($26-50),Top Rated (4.5-5)
Casual Dining,Foods,Chinese,28.523,10.0,0,Mid ($26-50),Top Rated (4.5-5)
Casual Dining,Foods,Indian,17.7055,63.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Indian,20.0345,31.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Indian,23.7575,20.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Indian,7.56,17.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Indian,12.834,15.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Indian,6.966,15.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Indian,11.754,13.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Indian,5.616,7.0,0,Budget ($0-25),Top Rated (4.5-5)
Casual Dining,Foods,Indian,36.322,12.0,0,Mid ($26-50),Top Rated (4.5-5)
